Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
68050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.58,,97.32,10.14,-8.37,104.56,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,32.00,1.20,1,0,0,0,0,7.68,1,0,1,,
69050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.56,,97.04,9.44,-7.59,51.90,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,31.00,1.20,1,0,0,0,0,7.68,1,0,1,,
70050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.48,,97.62,10.34,-7.26,48.73,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,30.00,1.20,1,0,0,0,0,84.95,1,0,1,,
71050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.43,,95.45,10.38,-7.78,51.39,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,30.00,1.20,1,0,0,0,0,8.53,1,0,1,,
72050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.29,,96.55,10.51,-7.78,52.05,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,30.00,1.10,1,0,0,0,0,84.95,1,0,1,,
73050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.17,,98.18,10.47,-7.84,48.88,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,30.00,1.10,1,0,0,0,0,40.72,1,0,1,,
74050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.24,,96.99,11.03,-8.06,52.08,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.20,1.32,-1.00,21.00,-1,30.00,1.10,1,0,0,0,0,40.72,1,0,1,,
75070,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.02,,95.48,11.67,-8.25,23.21,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.20,1.32,-1.00,19.00,-1,30.00,1.10,1,0,0,0,0,19.69,1,0,1,,
76050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.57,,94.08,10.94,-7.91,51.57,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.20,1.32,-1.00,19.00,-1,31.00,1.10,1,0,0,0,0,19.69,1,0,1,,
77070,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.40,,96.83,11.34,-7.39,23.21,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.20,45.20,45.20,19.00,-1,31.00,1.10,1,0,0,0,0,19.69,1,0,1,,
78050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,96.38,,97.29,11.26,-8.43,51.31,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.10,45.20,45.20,19.00,-1,32.00,1.10,1,0,0,0,0,10.67,1,0,1,,
